Gene (symbol)	Ensembl gene ID	Ensembl Transcript ID (canonical)	RefSeq canonical transcript	Trancript ID exons not included
CDK4	ENSG00000135446	ENST00000257904	NM_000075.3	
CDK6	ENSG00000105810	ENST00000424848	Not available	
CDKN1A	ENSG00000124762	ENST00000244741	Not available	
CDKN1B	ENSG00000111276	ENST00000228872	NM_004064.3	
CDKN2A	ENSG00000147889	ENST00000304494	Not available	
CDKN2C	ENSG00000123080	ENST00000371761	Not available	
CDX2	ENSG00000165556	ENST00000381020	Not available	
CEBPA	ENSG00000245848	ENST00000498907	NM_004364.3	
CHD1	ENSG00000153922	ENST00000614616	Not available	
CHD4	ENSG00000111642	ENST00000544040	Not available	
CHEK1	ENSG00000149554	ENST00000438015	Not available	
CHEK2	ENSG00000183765	ENST00000404276	Not available	
CIC	ENSG00000079432	ENST00000681038	Not available	
CNOT3	ENSG00000088038	ENST00000221232	Not available	
COL2A1	ENSG00000139219	ENST00000380518	Not available	
CREBBP	ENSG00000005339	ENST00000262367	NM_004380.2	
CRLF2	ENSG00000205755	ENST00000400841	Not available	
CRYBG1	ENSG00000112297	ENST00000633556	Not available	
CSF1	ENSG00000184371	ENST00000329608	NM_000757.5	1
CSF1R	ENSG00000182578	ENST00000675795	Not available	
CSF3R	ENSG00000119535	ENST00000373106	Not available	
CSMD1	ENSG00000183117	ENST00000635120	Not available	
CTCF	ENSG00000102974	ENST00000264010	NM_006565.3	
CTNNA1	ENSG00000044115	ENST00000302763	NM_001903.2	
CTNNB1	ENSG00000168036	ENST00000349496	NM_001904.3	
CUL3	ENSG00000036257	ENST00000264414	NM_003590.4	
CUX1	ENSG00000257923	ENST00000292535	Not available	24
CXCR4	ENSG00000121966	ENST00000241393	Not available	
CYLD	ENSG00000083799	ENST00000427738	Not available	
CYP2D6	ENSG00000100197	ENST00000645361	Not available	
CYP3A4	ENSG00000160868	ENST00000651514	Not available	
CYP3A5	ENSG00000106258	ENST00000222982	Not available	
DAXX	ENSG00000204209	ENST00000374542	NM_001141970.1	
DDR2	ENSG00000162733	ENST00000367921	Not available	
DDX3X	ENSG00000215301	ENST00000644876	Not available	
DEPDC5	ENSG00000100150	ENST00000651528	Not available	
DGCR8	ENSG00000128191	ENST00000351989	Not available	
DIAPH2	ENSG00000147202	ENST00000324765	Not available	
DICER1	ENSG00000100697	ENST00000343455	Not available	
DLG2	ENSG00000150672	ENST00000376104	Not available	
DMD	ENSG00000198947	ENST00000357033	Not available	
DNM2	ENSG00000079805	ENST00000389253	Not available	
DNMT3A	ENSG00000119772	ENST00000321117	Not available	
DOCK8	ENSG00000107099	ENST00000432829	Not available	
DPYD	ENSG00000188641	ENST00000370192	Not available	
DROSHA	ENSG00000113360	ENST00000344624	Not available	
EEF1A1	ENSG00000156508	ENST00000309268	Not available	
EGFR	ENSG00000146648	ENST00000275493	NM_005228.3	
EIF1AX	ENSG00000173674	ENST00000379607	NM_001412.3	
ELF3	ENSG00000163435	ENST00000367284	Not available	
EML4	ENSG00000143924	ENST00000318522	NM_019063.3	
EP300	ENSG00000100393	ENST00000263253	NM_001429.3	
EPAS1	ENSG00000116016	ENST00000263734	Not available	
EPCAM	ENSG00000119888	ENST00000263735	NM_002354.2	
EPHA2	ENSG00000142627	ENST00000358432	Not available	
ERBB2	ENSG00000141736	ENST00000269571	Not available	
ERBB3	ENSG00000065361	ENST00000267101	NM_001982.3	
ERBB4	ENSG00000178568	ENST00000342788	NM_005235.2	
ERCC2	ENSG00000104884	ENST00000391945	NM_000400.3	
ERF	ENSG00000105722	ENST00000222329	Not available	
ERG	ENSG00000157554	ENST00000288319	Not available	
ESR1	ENSG00000091831	ENST00000206249	Not available	
ETNK1	ENSG00000139163	ENST00000266517	Not available	
ETS2	ENSG00000157557	ENST00000360938	Not available	
EYS	ENSG00000188107	ENST00000503581	Not available	
EZH2	ENSG00000106462	ENST00000320356	NM_004456.4	
FANCA	ENSG00000187741	ENST00000389301	NM_000135.2	1
FANCC	ENSG00000158169	ENST00000289081	NM_000136.2	
FANCD2	ENSG00000144554	ENST00000675286	Not available	
FANCF	ENSG00000183161	ENST00000327470	NM_022725.3	
FANCL	ENSG00000115392	ENST00000233741	Not available	
FAT1	ENSG00000083857	ENST00000441802	NM_005245.3	
FAT4	ENSG00000196159	ENST00000394329	Not available	
FBXL17	ENSG00000145743	ENST00000542267	Not available	1
FBXO11	ENSG00000138081	ENST00000403359	Not available	1
FBXW7	ENSG00000109670	ENST00000281708	NM_033632.3	
FGF3	ENSG00000186895	ENST00000334134	NM_005247.2	1
FGFR1	ENSG00000077782	ENST00000447712	Not available	
FGFR2	ENSG00000066468	ENST00000358487	Not available	
FGFR3	ENSG00000068078	ENST00000440486	Not available	
FGFR4	ENSG00000160867	ENST00000292408	NM_213647.1	
FH	ENSG00000091483	ENST00000366560	NM_000143.3	
FHIT	ENSG00000189283	ENST00000492590	Not available	
FLCN	ENSG00000154803	ENST00000285071	NM_144997.5	
FLT1	ENSG00000102755	ENST00000282397	NM_002019.4	
FLT3	ENSG00000122025	ENST00000241453	NM_004119.2	
FLT4	ENSG00000037280	ENST00000261937	NM_182925.4	
FNTB	ENSG00000257365	ENST00000246166	Not available	
FOSL2	ENSG00000075426	ENST00000264716	Not available	
FOXA1	ENSG00000129514	ENST00000250448	NM_004496.3	
FOXA2	ENSG00000125798	ENST00000419308	Not available	
FOXO3	ENSG00000118689	ENST00000406360	Not available	
FOXP1	ENSG00000114861	ENST00000649528	Not available	
FUBP1	ENSG00000162613	ENST00000370768	NM_003902.3	
G6PD	ENSG00000160211	ENST00000393562	Not available	
GATA1	ENSG00000102145	ENST00000376670	NM_002049.3	
GATA2	ENSG00000179348	ENST00000341105	NM_032638.4	
GATA3	ENSG00000107485	ENST00000379328	NM_001002295.1	
GATA6	ENSG00000141448	ENST00000269216	NM_005257.4	2
GMDS	ENSG00000112699	ENST00000380815	Not available	
GNA11	ENSG00000088256	ENST00000078429	NM_002067.2	
GNAQ	ENSG00000156052	ENST00000286548	NM_002072.3	
GNAS	ENSG00000087460	ENST00000371085	Not available	
GPHN	ENSG00000171723	ENST00000478722	Not available	
GPS2	ENSG00000132522	ENST00000380728	Not available	
GRIN2A	ENSG00000183454	ENST00000330684	Not available	
GSK3B	ENSG00000082701	ENST00000264235	Not available	
GSTP1	ENSG00000084207	ENST00000398606	Not available	
GTF2I	ENSG00000263001	ENST00000573035	Not available	13,14,17,18,19,20,21,23,24,25,26,27,28,30,31,32,33
H1-2	ENSG00000187837	ENST00000343677	Not available	
H3-3A	ENSG00000163041	ENST00000366815	Not available	
H3C2	ENSG00000286522	ENST00000621411	Not available	
HIF1A	ENSG00000100644	ENST00000337138	Not available	
HLA-A	ENSG00000206503	ENST00000376809	Not available	
HLA-B	ENSG00000234745	ENST00000412585	NM_005514.6	
HLA-C	ENSG00000204525	ENST00000376228	NM_002117.5	
HNF1A	ENSG00000135100	ENST00000257555	Not available	
HNRNPA2B1	ENSG00000122566	ENST00000618183	Not available	
HOXC13	ENSG00000123364	ENST00000243056	Not available	
HRAS	ENSG00000174775	ENST00000311189	Not available	
IDH1	ENSG00000138413	ENST00000345146	Not available	
IDH2	ENSG00000182054	ENST00000330062	NM_002168.2	
IGF1R	ENSG00000140443	ENST00000650285	Not available	
IGLL5	ENSG00000254709	ENST00000526893	Not available	
IKBKB	ENSG00000104365	ENST00000520810	Not available	
IKZF1	ENSG00000185811	ENST00000331340	Not available	
IL1RAPL1	ENSG00000169306	ENST00000378993	Not available	
IL6ST	ENSG00000134352	ENST00000381298	Not available	
IL7R	ENSG00000168685	ENST00000303115	NM_002185.3	
IMMP2L	ENSG00000184903	ENST00000405709	Not available	
IRF2	ENSG00000168310	ENST00000393593	NM_002199.3	
IRS2	ENSG00000185950	ENST00000375856	NM_003749.2	1
ITGA9	ENSG00000144668	ENST00000264741	Not available	1
ITGAV	ENSG00000138448	ENST00000261023	Not available	
JAK1	ENSG00000162434	ENST00000342505	NM_002227.2	
JAK2	ENSG00000096968	ENST00000381652	NM_004972.3	
JAK3	ENSG00000105639	ENST00000458235	NM_000215.3	
JMJD4	ENSG00000081692	ENST00000620518	Not available	
KANSL1	ENSG00000120071	ENST00000432791	Not available	
KCNJ5	ENSG00000120457	ENST00000529694	Not available	
KDM5C	ENSG00000126012	ENST00000375401	NM_004187.3	
KDM6A	ENSG00000147050	ENST00000611820	Not available	
KDR	ENSG00000128052	ENST00000263923	NM_002253.2	
KEAP1	ENSG00000079999	ENST00000171111	NM_203500.1	
KIT	ENSG00000157404	ENST00000288135	NM_000222.2	
KLF4	ENSG00000136826	ENST00000374672	NM_004235.4	
KLF5	ENSG00000102554	ENST00000377687	Not available	1
KMT2A	ENSG00000118058	ENST00000534358	NM_005933.3	1
KMT2B	ENSG00000272333	ENST00000420124	Not available	1
KMT2C	ENSG00000055609	ENST00000262189	NM_170606.2	
KMT2D	ENSG00000167548	ENST00000301067	NM_003482.3	
KRAS	ENSG00000133703	ENST00000311936	Not available	
KRT5	ENSG00000186081	ENST00000252242	Not available	
KRTAP5-5	ENSG00000185940	ENST00000399676	Not available	
LATS2	ENSG00000150457	ENST00000382592	NM_014572.2	
LMBRD2	ENSG00000164187	ENST00000296603	Not available	
LRP1B	ENSG00000168702	ENST00000389484	NM_018557.2	
LRRN3	ENSG00000173114	ENST00000308478	Not available	
LSAMP	ENSG00000185565	ENST00000490035	Not available	
LZTR1	ENSG00000099949	ENST00000646124	Not available	
MACROD2	ENSG00000172264	ENST00000684519	Not available	
MAP2K1	ENSG00000169032	ENST00000307102	NM_002755.3	
MAP2K2	ENSG00000126934	ENST00000262948	NM_030662.3	
MAP2K4	ENSG00000065559	ENST00000353533	NM_003010.3	
MAP2K7	ENSG00000076984	ENST00000397979	Not available	
MAP3K1	ENSG00000095015	ENST00000399503	NM_005921.1	
MAP3K13	ENSG00000073803	ENST00000265026	NM_004721.4	
MAP3K21	ENSG00000143674	ENST00000366624	Not available	
MAX	ENSG00000125952	ENST00000358664	NM_002382.4	
MCL1	ENSG00000143384	ENST00000369026	NM_021960.4	
MDM2	ENSG00000135679	ENST00000258149	Not available	
MDM4	ENSG00000198625	ENST00000367182	NM_001278516.1	
MECOM	ENSG00000085276	ENST00000651503	Not available	
MED12	ENSG00000184634	ENST00000374080	Not available	
MEGF6	ENSG00000162591	ENST00000356575	Not available	
MEN1	ENSG00000133895	ENST00000450708	Not available	
MET	ENSG00000105976	ENST00000397752	Not available	
MGA	ENSG00000174197	ENST00000219905	NM_001164273.1	
MGMT	ENSG00000170430	ENST00000651593	Not available	
MIPOL1	ENSG00000151338	ENST00000684589	Not available	
MITF	ENSG00000187098	ENST00000352241	NM_198159.2	
MLH1	ENSG00000076242	ENST00000231790	NM_000249.3	
MPL	ENSG00000117400	ENST00000372470	NM_005373.2	
MRE11	ENSG00000020922	ENST00000323929	NM_005591.3	
MSH2	ENSG00000095002	ENST00000233146	NM_000251.2	
MSH6	ENSG00000116062	ENST00000234420	NM_000179.2	
MST1R	ENSG00000164078	ENST00000296474	NM_002447.2	
MTHFR	ENSG00000177000	ENST00000376590	Not available	
MTOR	ENSG00000198793	ENST00000361445	NM_004958.3	
MUTYH	ENSG00000132781	ENST00000456914	Not available	
MYC	ENSG00000136997	ENST00000621592	Not available	
MYCL	ENSG00000116990	ENST00000372816	Not available	
MYCN	ENSG00000134323	ENST00000281043	NM_005378.4	2
MYD88	ENSG00000172936	ENST00000650905	Not available	
MYOD1	ENSG00000129152	ENST00000250003	NM_002478.4	
NAALADL2	ENSG00000177694	ENST00000454872	Not available	
NBN	ENSG00000104320	ENST00000265433	NM_002485.4	
NCOA2	ENSG00000140396	ENST00000452400	NM_006540.2	
NCOR1	ENSG00000141027	ENST00000268712	NM_006311.3	
NEGR1	ENSG00000172260	ENST00000357731	NM_173808.2	
NF1	ENSG00000196712	ENST00000358273	NM_001042492.2	
NF2	ENSG00000186575	ENST00000338641	NM_000268.3	
NFE2L2	ENSG00000116044	ENST00000397062	NM_006164.4	
NFKBIE	ENSG00000146232	ENST00000619360	Not available	
NIPBL	ENSG00000164190	ENST00000282516	Not available	
NOTCH1	ENSG00000148400	ENST00000651671	Not available	1
NOTCH2	ENSG00000134250	ENST00000256646	NM_024408.3	
NPM1	ENSG00000181163	ENST00000296930	NM_002520.6	
NRAS	ENSG00000213281	ENST00000369535	NM_002524.4	
NRG1	ENSG00000157168	ENST00000356819	NM_013956.3	
NSD1	ENSG00000165671	ENST00000439151	NM_022455.4	
NT5C2	ENSG00000076685	ENST00000404739	Not available	
NTHL1	ENSG00000065057	ENST00000651570	Not available	
NTRK1	ENSG00000198400	ENST00000524377	NM_002529.3	
NTRK2	ENSG00000148053	ENST00000277120	Not available	
NTRK3	ENSG00000140538	ENST00000394480	Not available	
PABPC1	ENSG00000070756	ENST00000318607	Not available	
PALB2	ENSG00000083093	ENST00000261584	NM_024675.3	
PARD3	ENSG00000148498	ENST00000374788	Not available	
PARD3B	ENSG00000116117	ENST00000406610	Not available	
PARD6G	ENSG00000178184	ENST00000353265	Not available	
PAX5	ENSG00000196092	ENST00000358127	NM_001280556.1	
PBRM1	ENSG00000163939	ENST00000296302	Not available	
PDE4D	ENSG00000113448	ENST00000340635	Not available	1
PDGFRA	ENSG00000134853	ENST00000257290	NM_006206.4	
PDGFRB	ENSG00000113721	ENST00000261799	NM_002609.3	
PDYN	ENSG00000101327	ENST00000217305	Not available	
PHF6	ENSG00000156531	ENST00000370803	Not available	
PHOX2B	ENSG00000109132	ENST00000226382	NM_003924.3	3
PIK3CA	ENSG00000121879	ENST00000263967	NM_006218.2	
PIK3R1	ENSG00000145675	ENST00000521381	NM_181523.2	
PIK3R4	ENSG00000196455	ENST00000356763	Not available	
PIM1	ENSG00000137193	ENST00000373509	NM_002648.3	
PLCG1	ENSG00000124181	ENST00000373271	Not available	
PLXNB2	ENSG00000196576	ENST00000359337	Not available	
PML	ENSG00000140464	ENST00000268058	Not available	
PMS2	ENSG00000122512	ENST00000265849	NM_000535.5	
POLD1	ENSG00000062822	ENST00000440232	NM_002691.3	
POLE	ENSG00000177084	ENST00000320574	NM_006231.2	
POT1	ENSG00000128513	ENST00000357628	Not available	
PPM1D	ENSG00000170836	ENST00000305921	NM_003620.3	
PPP1R15A	ENSG00000087074	ENST00000200453	Not available	
PPP2R1A	ENSG00000105568	ENST00000322088	NM_014225.5	
PPP2R2A	ENSG00000221914	ENST00000380737	Not available	
PPP2R3B	ENSG00000167393	ENST00000390665	Not available	
PPP6C	ENSG00000119414	ENST00000373547	Not available	
PRDM1	ENSG00000057657	ENST00000369096	NM_001198.3	
PREX2	ENSG00000046889	ENST00000288368	NM_024870.2	
PRKACA	ENSG00000072062	ENST00000308677	Not available	
PRKAR1A	ENSG00000108946	ENST00000589228	NM_001278433.1	
PRKN	ENSG00000185345	ENST00000366898	Not available	
PSIP1	ENSG00000164985	ENST00000380733	Not available	
PTCH1	ENSG00000185920	ENST00000331920	NM_000264.3	
PTEN	ENSG00000171862	ENST00000371953	NM_000314.4	
PTK6	ENSG00000101213	ENST00000542869	Not available	
PTPN11	ENSG00000179295	ENST00000351677	NM_002834.3	
PTPN13	ENSG00000163629	ENST00000411767	Not available	
PTPRB	ENSG00000127329	ENST00000334414	Not available	
PTPRD	ENSG00000153707	ENST00000381196	NM_002839.3	
PTPRN2	ENSG00000155093	ENST00000389418	Not available	
PUDP	ENSG00000130021	ENST00000381077	Not available	
RAC1	ENSG00000136238	ENST00000348035	Not available	1
RACGAP1	ENSG00000161800	ENST00000312377	Not available	
RAD21	ENSG00000164754	ENST00000297338	NM_006265.2	
RAD50	ENSG00000113522	ENST00000378823	Not available	
RAD51	ENSG00000051180	ENST00000267868	Not available	
RAD51B	ENSG00000182185	ENST00000471583	Not available	
RAD51C	ENSG00000108384	ENST00000337432	NM_058216.2	
RAD51D	ENSG00000185379	ENST00000345365	Not available	
RAD54L	ENSG00000085999	ENST00000371975	NM_003579.3	
RAF1	ENSG00000132155	ENST00000442415	Not available	
RARG	ENSG00000172819	ENST00000425354	Not available	
RASA1	ENSG00000145715	ENST00000274376	NM_002890.2	
RB1	ENSG00000139687	ENST00000267163	NM_000321.2	
RBM10	ENSG00000182872	ENST00000377604	NM_001204468.1	
RET	ENSG00000165731	ENST00000355710	NM_020975.4	
RHOA	ENSG00000067560	ENST00000418115	NM_001664.2	
RHOB	ENSG00000143878	ENST00000272233	Not available	
RNF111	ENSG00000157450	ENST00000348370	Not available	
RNF43	ENSG00000108375	ENST00000407977	Not available	
ROS1	ENSG00000047936	ENST00000368507	Not available	
RPL10	ENSG00000147403	ENST00000369817	Not available	
RPL22	ENSG00000116251	ENST00000234875	Not available	
RPL5	ENSG00000122406	ENST00000370321	Not available	
RPS6KA3	ENSG00000177189	ENST00000379565	Not available	
RSF1	ENSG00000048649	ENST00000308488	Not available	
RUNX1	ENSG00000159216	ENST00000675419	Not available	
RXRA	ENSG00000186350	ENST00000481739	Not available	1
RYR1	ENSG00000196218	ENST00000359596	Not available	91
SAV1	ENSG00000151748	ENST00000324679	Not available	2
SDHA	ENSG00000073578	ENST00000264932	NM_004168.2	
SDHAF2	ENSG00000167985	ENST00000301761	NM_017841.2	
SDHB	ENSG00000117118	ENST00000375499	NM_003000.2	
SDHC	ENSG00000143252	ENST00000367975	NM_003001.3	
SDHD	ENSG00000204370	ENST00000375549	NM_003002.3	
SEMG2	ENSG00000124157	ENST00000372769	Not available	
SETBP1	ENSG00000152217	ENST00000649279	Not available	
SETD2	ENSG00000181555	ENST00000409792	NM_014159.6	
SF3B1	ENSG00000115524	ENST00000335508	NM_012433.2	
SGCZ	ENSG00000185053	ENST00000382080	Not available	
SH2B3	ENSG00000111252	ENST00000341259	NM_005475.2	2
SIX1	ENSG00000126778	ENST00000645694	Not available	
SIX2	ENSG00000170577	ENST00000303077	Not available	
SLCO1B1	ENSG00000134538	ENST00000256958	Not available	
SMAD2	ENSG00000175387	ENST00000262160	Not available	
SMAD3	ENSG00000166949	ENST00000327367	NM_005902.3	
SMAD4	ENSG00000141646	ENST00000342988	NM_005359.5	1
SMARCA1	ENSG00000102038	ENST00000371121	Not available	
SMARCA4	ENSG00000127616	ENST00000344626	Not available	
SMARCB1	ENSG00000099956	ENST00000644036	Not available	
SMARCD1	ENSG00000066117	ENST00000394963	NM_003076.4	
SMC3	ENSG00000108055	ENST00000361804	NM_005445.3	
SMO	ENSG00000128602	ENST00000249373	NM_005631.4	
SMTNL2	ENSG00000188176	ENST00000389313	Not available	1
SOCS1	ENSG00000185338	ENST00000332029	NM_003745.1	
SOX9	ENSG00000125398	ENST00000245479	NM_000346.3	
SPEN	ENSG00000065526	ENST00000375759	NM_015001.2	
SPOP	ENSG00000121067	ENST00000504102	Not available	
SPRED1	ENSG00000166068	ENST00000299084	NM_152594.2	
SPTAN1	ENSG00000197694	ENST00000372739	Not available	
SRC	ENSG00000197122	ENST00000373578	NM_198291.2	4
SRSF2	ENSG00000161547	ENST00000359995	Not available	
STAG2	ENSG00000101972	ENST00000371145	Not available	
STAT3	ENSG00000168610	ENST00000264657	NM_139276.2	
STAT5B	ENSG00000173757	ENST00000293328	NM_012448.3	
STK11	ENSG00000118046	ENST00000326873	NM_000455.4	
STS	ENSG00000101846	ENST00000674429	Not available	
SUFU	ENSG00000107882	ENST00000369902	NM_016169.3	
TBL1XR1	ENSG00000177565	ENST00000457928	Not available	
TBX3	ENSG00000135111	ENST00000349155	Not available	
TCF12	ENSG00000140262	ENST00000333725	Not available	
TCF7L2	ENSG00000148737	ENST00000627217	Not available	
TENM1	ENSG00000009694	ENST00000422452	Not available	
TERT	ENSG00000164362	ENST00000310581	NM_198253.2	1
TET2	ENSG00000168769	ENST00000380013	Not available	
TG	ENSG00000042832	ENST00000220616	Not available	
TGFBR1	ENSG00000106799	ENST00000374994	NM_004612.2	1
TGFBR2	ENSG00000163513	ENST00000295754	Not available	
TGIF1	ENSG00000177426	ENST00000343820	Not available	
TMEM30A	ENSG00000112697	ENST00000230461	Not available	
TMPRSS2	ENSG00000184012	ENST00000332149	Not available	
TNFAIP3	ENSG00000118503	ENST00000612899	Not available	
TNFRSF14	ENSG00000157873	ENST00000355716	NM_003820.2	
TOP1	ENSG00000198900	ENST00000361337	Not available	
TOP2A	ENSG00000131747	ENST00000423485	NM_001067.3	
TP53	ENSG00000141510	ENST00000269305	NM_001126112.2	
TP63	ENSG00000073282	ENST00000264731	NM_003722.4	
TPMT	ENSG00000137364	ENST00000309983	Not available	
TPTE	ENSG00000274391	ENST00000618007	Not available	
TRAF7	ENSG00000131653	ENST00000326181	NM_032271.2	
TRIM51	ENSG00000124900	ENST00000449290	Not available	
TSC1	ENSG00000165699	ENST00000298552	NM_001162426.1	
TSC2	ENSG00000103197	ENST00000219476	NM_000548.3	
TSHR	ENSG00000165409	ENST00000298171	Not available	
TYMS	ENSG00000176890	ENST00000323274	Not available	
UBR5	ENSG00000104517	ENST00000520539	Not available	
UGT1A8	ENSG00000242366	ENST00000373450	Not available	
USP22	ENSG00000124422	ENST00000261497	Not available	
USP28	ENSG00000048028	ENST00000003302	Not available	1
USP32	ENSG00000170832	ENST00000300896	Not available	
USP8	ENSG00000138592	ENST00000307179	Not available	
VEGFA	ENSG00000112715	ENST00000672860	Not available	
VHL	ENSG00000134086	ENST00000256474	NM_000551.3	
WEE1	ENSG00000166483	ENST00000450114	Not available	1
WT1	ENSG00000184937	ENST00000452863	Not available	
WWC3	ENSG00000047644	ENST00000380861	Not available	
WWOX	ENSG00000186153	ENST00000566780	Not available	
XPO1	ENSG00000082898	ENST00000401558	NM_003400.3	
XRCC1	ENSG00000073050	ENST00000262887	Not available	
ZBTB10	ENSG00000205189	ENST00000455036	Not available	
ZBTB20	ENSG00000181722	ENST00000675478	Not available	
ZBTB7B	ENSG00000160685	ENST00000535420	Not available	
ZFHX3	ENSG00000140836	ENST00000268489	NM_006885.3	
ZFP36L1	ENSG00000185650	ENST00000439696	Not available	
ZFP36L2	ENSG00000152518	ENST00000282388	Not available	
ZFX	ENSG00000005889	ENST00000304543	Not available	10
ZIM3	ENSG00000141946	ENST00000269834	Not available	
ZMIZ1	ENSG00000108175	ENST00000334512	Not available	
ZMYM3	ENSG00000147130	ENST00000314425	Not available	
ZNF217	ENSG00000171940	ENST00000371471	Not available	
ZNF521	ENSG00000198795	ENST00000361524	Not available	
ZNF703	ENSG00000183779	ENST00000331569	NM_025069.1	
ZNF750	ENSG00000141579	ENST00000269394	Not available	
ZNRF3	ENSG00000183579	ENST00000544604	Not available	1
ZRSR2	ENSG00000169249	ENST00000307771	NM_005089.3	
